pid,overallqual,yearbuilt,centralair,grlivarea,fullbath,salecondition,saleprice
535180130,4,1956,Y,1337,1,Normal,108000
535302080,5,1952,Y,1064,1,Normal,135000
535302200,5,1955,Y,972,1,Normal,122500
535304060,5,1958,Y,988,1,Abnormal,119000
535304180,5,1953,Y,1057,1,Abnormal,109000
535325400,4,1920,Y,985,1,Normal,105000
535327140,5,1955,Y,827,1,Normal,107500
535350030,5,1954,Y,1086,1,Normal,144900
535350040,5,1956,Y,936,1,Normal,129000
535353190,6,1948,Y,1458,1,Abnormal,97500
535377090,6,1980,Y,1056,0,Normal,144000
535401080,5,1959,Y,1287,1,Normal,162000
535425010,7,1967,Y,2978,2,Normal,242000
535450210,6,1948,Y,1224,1,Normal,132000
535453070,5,1959,Y,1246,1,Normal,154000
535454070,5,1952,Y,1385,2,Normal,166000
535456110,5,1951,Y,900,1,Normal,134800
535457010,6,1962,Y,1116,1,Normal,160000
535457090,5,1960,Y,1175,1,Normal,148000
535476350,6,1963,Y,1395,1,Normal,192000
535477020,6,1966,Y,1839,1,Normal,155000
902102100,4,1900,Y,1844,1,Abnormal,80400
902104060,4,1910,Y,1140,1,Normal,96500
902106130,5,1920,Y,936,1,Normal,109500
902106140,5,1927,Y,1028,1,Normal,115000
902110090,5,1957,Y,1347,1,Normal,143000
902125080,3,1915,N,1605,2,Normal,107400
902125160,4,1945,Y,747,1,Normal,80000
902128170,5,1940,Y,804,1,Abnormal,119000
902206040,5,1929,Y,1316,1,Normal,130000
902206130,6,1938,Y,1251,1,Normal,119000
902206220,5,1948,Y,1633,1,Normal,129000
902206240,5,1920,Y,1245,1,Normal,100000
902207130,2,1923,N,832,1,Abnormal,12789
902207140,6,1928,Y,720,1,Normal,105900
902305110,8,1900,N,1566,2,Abnormal,150000
902327040,5,1915,Y,1652,2,Normal,139000
902329030,8,1890,Y,2268,3,Normal,240000
902401060,5,1910,N,2256,2,Abnormal,76500
902402010,6,1957,Y,1236,1,Normal,149700
902402130,4,1910,Y,1363,1,Normal,125500
902402250,4,1885,Y,2290,2,Normal,122500
902403070,6,1922,Y,1470,1,Normal,140750
903204040,5,1950,Y,1612,1,Normal,128500
903206120,7,1922,N,2068,1,Normal,209500
903225150,4,1925,N,765,1,Normal,87000
903226160,6,1939,Y,1132,1,Abnormal,134000
903227020,6,1940,Y,1196,1,Normal,128000
903227150,5,1942,Y,1453,1,Normal,132000
903228150,6,1948,Y,1416,1,Normal,139900
903232190,5,1936,Y,1040,1,Normal,123900
903233120,5,1930,Y,1536,2,Normal,138400
903234050,6,1923,Y,1068,1,Normal,109500
903425110,7,1921,Y,1710,2,Normal,140000
903426180,4,1915,Y,1962,1,Normal,149500
903426200,6,1912,Y,1560,1,Normal,159900
903430080,6,1920,Y,1324,1,Normal,122000
903450110,5,1963,N,816,1,Normal,110000
903454060,4,1930,N,1092,2,Normal,55000
903476030,5,1900,Y,1812,2,Normal,140000
904100140,7,1940,Y,2403,2,Normal,244400
904101110,5,1959,Y,1675,2,Normal,173000
904300150,5,1917,N,1224,1,Normal,107500
904302260,5,1915,N,1392,1,Normal,100000
904350045,6,1940,N,919,1,Normal,95000
904351040,4,1907,N,1884,1,Abnormal,93369
904352190,5,1910,Y,1680,2,Normal,114900
905101100,5,1875,N,1020,1,Normal,94000
905101300,4,1967,N,1832,2,Normal,136000
905101310,4,1968,N,1768,2,Normal,136500
905102060,5,1965,Y,1039,1,Normal,131500
905103060,5,1957,Y,1392,1,Normal,121500
905104210,5,1967,Y,912,1,Normal,125000
905105070,5,1968,Y,1060,1,Normal,154000
905105200,5,1966,Y,892,1,Normal,137900
905106140,6,1969,Y,1352,1,Normal,158000
905106170,5,1968,Y,864,1,Normal,137250
905107110,5,1978,Y,1373,1,Normal,160250
905107250,5,1968,Y,1440,1,Normal,163000
905107320,6,1978,Y,1386,2,Abnormal,158900
905109130,7,1996,Y,2260,2,Normal,328000
905109170,7,1977,Y,1483,1,Normal,270000
905201030,4,1927,N,756,1,Normal,85000
905202090,4,1950,Y,1067,2,Normal,128000
905325030,7,1979,Y,1524,0,Normal,260000
905352140,6,1978,Y,1981,2,Normal,230000
905378040,3,1938,Y,1610,2,Normal,124000
905426060,5,1920,N,835,1,Abnormal,83000
905426200,6,1950,Y,1074,1,Normal,144500
905451320,5,1956,Y,1144,1,Normal,129000
905452110,4,1947,Y,1531,1,Normal,127000
905452160,5,1954,Y,1172,1,Normal,128000
905453040,6,2009,Y,1212,2,Normal,186000
905453080,7,2009,Y,1508,1,Abnormal,308030
905475510,5,1964,Y,1298,2,Normal,114000
905478190,4,1946,Y,930,1,Abnormal,84900
906201030,6,1985,Y,1732,2,Normal,178000
906201120,7,1987,Y,1433,1,Normal,270000
906204230,6,1993,Y,1802,2,Normal,218000
906223090,7,1993,Y,1949,2,Normal,236000
906225210,6,1992,Y,996,1,Normal,147000
906378100,8,2008,Y,1694,2,Normal,245350
906380190,7,2006,Y,1208,2,Normal,206000
906385010,7,2009,Y,1226,2,Normal,198900
906385020,7,2010,Y,1222,2,Normal,187000
906402200,7,1990,Y,3222,3,Normal,320000
906425045,6,1900,Y,1445,2,Normal,138500
906477110,6,1971,Y,1052,1,Normal,155000
907125090,5,1996,Y,965,1,Normal,159000
907180050,7,1997,Y,1692,2,Normal,191000
907185060,6,1998,Y,1682,2,Normal,200500
907200280,5,1977,Y,1026,1,Normal,150000
907200290,6,1977,Y,1392,1,Normal,161750
907200340,5,1976,Y,894,1,Normal,128200
907203070,5,1972,Y,876,1,Normal,127000
907250030,8,2003,Y,1978,2,Normal,318000
907252120,8,2001,Y,1601,2,Normal,272000
907262050,7,2003,Y,1829,2,Normal,237000
907280040,7,1997,Y,2098,2,Normal,240000
907290040,7,1998,Y,1661,2,Normal,224900
907290170,6,2003,Y,848,1,Normal,143750
907290240,6,2004,Y,848,1,Normal,143000
907401090,8,2003,Y,1668,2,Normal,232000
907410080,7,2004,Y,1484,2,Normal,213000
907414030,7,2004,Y,1414,2,Normal,185500
908102060,3,1945,N,640,1,Normal,84900
908102110,5,1954,Y,992,1,Abnormal,155891
908102130,5,1965,N,1664,2,Normal,100000
908102170,5,1968,Y,1196,1,Normal,144000
908102300,4,1948,N,1120,1,Abnormal,64000
908103350,6,1975,Y,1096,1,Normal,125200
908152080,6,1976,Y,1117,1,Abnormal,107000
908203100,4,1958,Y,960,1,Normal,90000
908208020,4,2003,Y,1121,2,Normal,140000
908225320,6,1945,Y,1487,1,Normal,113000
908226130,4,1941,N,924,1,Normal,80000
908275300,5,1957,Y,1526,1,Normal,144500
909100080,5,1924,N,1296,2,Normal,104000
909100110,6,1915,N,1647,1,Normal,128000
909101070,3,1914,N,864,1,Normal,58500
909176140,5,1924,Y,1691,2,Normal,127000
909176150,6,1939,Y,856,1,Normal,126000
909177100,4,1967,Y,2650,3,Normal,160000
909250030,5,1931,Y,1666,1,Normal,100000
909250060,6,1919,Y,2447,2,Normal,169000
909281080,7,1941,Y,2133,1,Normal,257500
909426080,5,1950,Y,2177,2,Normal,215000
909427230,7,1941,Y,2340,2,Normal,266500
909428280,7,1959,Y,1902,2,Normal,335000
909452114,7,1994,Y,1652,2,Normal,203135
909455030,8,1989,Y,1034,1,Normal,185000
909455040,8,1989,Y,1191,2,Normal,162500
909475140,7,1959,Y,1801,2,Normal,289000
910202060,4,1922,Y,1154,1,Normal,125500
910203250,2,1941,Y,540,1,Normal,82000
910205120,6,1921,Y,1107,1,Normal,110000
911128180,4,1920,Y,1128,1,Abnormal,68400
911202100,4,1900,Y,1178,1,Abnormal,102776
911204090,5,1952,N,1044,1,Abnormal,55993
911204100,4,1896,Y,952,1,Abnormal,50138
911370510,8,2004,Y,1646,2,Normal,246000
914467040,8,1998,Y,1916,2,Normal,254900
914475090,6,1977,Y,1285,2,Normal,190000
914476520,7,2003,Y,1560,2,Normal,201000
914478045,6,1976,Y,1034,1,Normal,169900
914478110,6,1976,Y,2048,3,Normal,170000
916125360,5,1948,Y,1687,1,Normal,160000
916386010,7,2008,Y,1346,2,Normal,220000
916386020,7,2009,Y,1214,2,Abnormal,179781
916386060,5,2006,Y,1444,2,Normal,174000
916386090,8,2009,Y,1968,2,Abnormal,269500
916455170,7,2002,Y,1894,2,Normal,214900
916475110,8,2002,Y,1908,2,Normal,202900
921128020,9,2008,Y,2018,2,Normal,378500
923201020,5,1965,Y,1264,1,Normal,169000
923202105,5,2004,Y,1430,2,Normal,173500
923204150,6,1971,Y,1824,2,Normal,139000
923205015,5,1999,Y,1344,2,Normal,166500
923225300,4,1973,Y,1092,1,Normal,83500
923225390,5,1973,Y,945,1,Normal,119500
923225440,5,1976,Y,1112,1,Normal,85000
923226250,4,1970,Y,1092,1,Normal,76000
923226320,4,1972,Y,630,1,Normal,75500
923228270,4,1970,Y,1092,1,Normal,88250
923228370,4,1972,Y,1092,1,Normal,85500
923230190,5,1971,Y,874,1,Normal,130000
923251080,5,1962,Y,1188,1,Normal,157900
923276030,5,1984,Y,833,1,Normal,149900
923276250,5,1985,Y,2432,4,Normal,159000
923426070,5,1991,Y,1274,1,Normal,136000
924100050,5,1969,Y,1479,2,Normal,161000
924151040,8,1994,Y,1803,2,Normal,285000
924152030,6,1993,Y,1797,2,Normal,231000
526302110,6,1956,Y,882,1,Normal,124500
526351100,6,1974,Y,1434,2,Normal,157000
526355080,8,1972,Y,2704,2,Normal,345000
527105070,6,1997,Y,1608,2,Normal,189500
527105130,8,2003,Y,2283,2,Normal,270000
527107130,7,1996,Y,1628,2,Normal,189000
527108070,9,2006,Y,1746,2,Normal,377500
527110020,7,1995,Y,1474,2,Normal,168500
527127100,8,2004,Y,2522,2,Normal,375000
527131030,8,2000,Y,1659,2,Normal,278000
527132090,8,1998,Y,1478,2,Normal,240000
527146010,8,1995,Y,1734,2,Normal,239500
527161040,7,1998,Y,1382,2,Normal,177500
527162110,7,1998,Y,1718,2,Normal,185000
527162120,6,1998,Y,1636,2,Normal,191000
527163040,6,1993,Y,1571,2,Normal,178000
527163070,6,1993,Y,1470,2,Normal,185000
527163130,6,1994,Y,1516,2,Normal,181316
527164020,6,1993,Y,1190,2,Normal,166000
527164060,6,1992,Y,1593,2,Normal,178000
527164090,6,1994,Y,1481,2,Normal,174000
527165130,6,1992,Y,1167,2,Normal,173000
527166010,7,1999,Y,1983,2,Normal,225000
527180100,7,1990,Y,1442,2,Normal,180500
527182110,8,1984,Y,1360,1,Abnormal,187500
527214050,9,2008,Y,2234,2,Abnormal,501837
527254020,8,2008,Y,2046,2,Abnormal,372500
527258020,7,2005,Y,1530,2,Normal,260000
527276160,5,1977,Y,1934,2,Normal,185000
527301320,7,1980,Y,2353,2,Normal,260000
527302175,6,1979,Y,1586,2,Normal,181000
527326040,7,1977,Y,1411,2,Family,82500
527326150,6,1977,Y,1602,2,Normal,215000
527352150,7,1978,Y,2050,2,Abnormal,154000
527353020,6,1978,Y,1671,2,Normal,200000
527353060,7,1980,Y,2673,2,Normal,249000
527354100,7,1980,Y,1472,2,Normal,187500
527354200,6,1978,Y,1707,2,Normal,184000
527355150,8,1981,Y,2524,2,Normal,278000
527356040,7,1978,Y,1601,2,Abnormal,157000
527359050,7,1976,Y,1370,2,Family,152000
527359180,5,1976,Y,1868,2,Normal,197500
527364030,7,2003,Y,1884,2,Normal,240900
527365030,8,2009,Y,1935,2,Abnormal,263435
527366030,8,2000,Y,1874,2,Normal,220000
527368010,8,2002,Y,1811,2,Normal,235000
527375100,5,1975,Y,1621,2,Normal,213000
527375180,6,1974,Y,1116,2,Normal,167900
527375210,7,1975,Y,1193,2,Normal,158000
527376100,6,1974,Y,1350,2,Normal,165000
527378140,6,1972,Y,2119,2,Abnormal,158000
527401160,5,1974,Y,1792,2,Normal,136000
527402220,5,1970,Y,1002,1,Normal,148500
527403040,6,1969,Y,1026,1,Normal,156000
527404020,5,1970,Y,1180,1,Normal,128000
527404030,5,1971,Y,1050,1,Normal,143000
527405130,4,1970,Y,864,1,Abnormal,76500
527405160,4,1970,Y,864,1,Normal,120500
527405180,4,1970,Y,864,1,Normal,124500
527425060,4,1971,Y,864,1,Abnormal,97000
527425110,4,1971,Y,864,1,Normal,130000
527450280,6,1973,Y,987,1,Normal,111000
527451110,5,1970,Y,1365,1,Normal,125000
527451320,5,1971,Y,1302,2,Abnormal,112000
527451540,6,1972,Y,987,1,Normal,97000
527451640,6,1972,Y,987,1,Normal,118000
527451650,5,1972,Y,1302,2,Normal,119500
527452060,6,1976,Y,958,2,Normal,143750
527453050,6,1976,Y,1548,2,Normal,146000
527453060,6,1976,Y,1456,2,Normal,148500
527453140,7,1975,Y,1055,2,Normal,123000
527454050,6,1974,Y,1322,2,Normal,147000
527454130,6,1977,Y,1456,2,Normal,137900
527455050,6,1978,Y,1548,2,Normal,147000
527455060,6,1978,Y,1441,2,Normal,148500
527455080,6,1978,Y,1456,2,Normal,138000
527455090,7,1976,Y,836,1,Normal,128500
527455240,5,1967,Y,892,1,Normal,100000
527455280,5,1966,Y,1120,1,Normal,148800
528102040,10,2006,Y,1718,2,Normal,337500
528102140,9,2007,Y,2772,3,Normal,462000
528104070,9,2008,Y,3140,3,Abnormal,485000
528106020,10,2008,Y,2402,2,Normal,555000
528106070,9,2006,Y,1652,2,Normal,325000
528108010,8,2007,Y,1600,2,Normal,256300
528108020,8,2008,Y,2042,2,Abnormal,253293
528108040,9,2009,Y,2690,2,Abnormal,398800
528108070,9,2008,Y,2184,2,Normal,335000
528108130,9,2008,Y,2020,2,Normal,404000
528108140,10,2009,Y,2020,2,Abnormal,402861
528110010,10,2008,Y,2296,2,Normal,451950
528110020,10,2007,Y,2674,2,Normal,610000
528110090,9,2008,Y,2822,3,Abnormal,582933
528112040,9,2008,Y,1736,2,Normal,360000
528116010,8,2004,Y,1782,2,Normal,296000
528118060,8,2007,Y,2520,2,Family,409900
528120020,8,2006,Y,1717,2,Normal,255500
528120030,9,2008,Y,1743,2,Normal,335000
528120160,8,2004,Y,1713,2,Normal,274900
528120170,9,2006,Y,1531,2,Normal,300000
528138010,9,2008,Y,1808,2,Normal,324000
528142040,9,2004,Y,2224,2,Normal,350000
528142090,8,2004,Y,1836,2,Normal,280000
528142130,8,2003,Y,1629,2,Normal,284000
528142150,7,2003,Y,1760,2,Normal,269500
528144020,7,2009,Y,1502,2,Abnormal,233170
528166060,10,2003,Y,2392,2,Normal,386250
528166090,9,2003,Y,2452,2,Normal,445000
528168030,8,2003,Y,2400,3,Normal,290000
528172060,8,2006,Y,1606,2,Normal,255900
528174050,6,2005,Y,1358,2,Normal,213000
528174060,6,2005,Y,1306,2,Normal,196000
528174070,6,2005,Y,1306,2,Normal,184500
528175050,7,2007,Y,1358,2,Normal,212500
528175060,7,2007,Y,1314,2,Normal,230000
528176030,10,2004,Y,2492,2,Abnormal,552000
528178010,8,2003,Y,2200,2,Normal,382500
528180120,9,2008,Y,1884,2,Abnormal,320000
528180130,9,2008,Y,1456,2,Normal,248500
528186010,8,2002,Y,1712,2,Normal,286500
528186180,8,2006,Y,1324,2,Normal,254000
528188020,7,2003,Y,1405,2,Normal,173000
528188060,7,2003,Y,1626,2,Normal,173000
528218090,7,2005,Y,1456,2,Normal,184000
528220040,6,2005,Y,1490,2,Normal,167800
528221060,6,2005,Y,1484,2,Normal,174000
528221070,6,2005,Y,1560,2,Normal,174000
528228290,7,2007,Y,1555,2,Normal,174000
528228295,7,2007,Y,1569,2,Normal,175900
528228435,7,2005,Y,1555,2,Normal,192500
528228450,7,2005,Y,1504,2,Normal,181000
528228455,7,2005,Y,1220,2,Normal,180000
528228460,7,2005,Y,1145,2,Normal,160200
528235010,7,2004,Y,1432,2,Normal,188500
528235090,6,2002,Y,2267,2,Normal,200000
528235200,7,2004,Y,1374,2,Normal,170000
528240030,7,2004,Y,1630,2,Normal,189500
528240060,8,2002,Y,1419,2,Normal,184100
528240150,7,2004,Y,1594,2,Normal,195500
528250020,7,2003,Y,1489,2,Normal,192000
528250040,7,2003,Y,1342,2,Normal,178000
528253010,7,2007,Y,1314,2,Normal,207500
528275070,7,2000,Y,2256,2,Normal,236000
528275160,8,2002,Y,2004,2,Normal,257500
528280230,6,2000,Y,2054,2,Normal,244000
528290030,7,2004,Y,1374,2,Normal,167000
528290120,6,2000,Y,1800,2,Normal,179000
528290180,6,2000,Y,1514,2,Normal,190000
528290190,7,1999,Y,1430,2,Normal,156000
528292030,7,1999,Y,2312,2,Normal,245000
528292040,6,1999,Y,1675,2,Normal,181000
528292070,7,1999,Y,2060,2,Normal,214000
528294050,7,1999,Y,1430,2,Normal,168000
528315090,8,1999,Y,2365,2,Normal,337000
528321010,8,1995,Y,2794,2,Normal,403000
528327070,8,2000,Y,2687,2,Normal,327000
528344040,8,1998,Y,2450,2,Normal,340000
528344100,8,1998,Y,2612,2,Normal,336000
528354050,7,1996,Y,2344,2,Normal,265000
528363050,8,1994,Y,2063,2,Normal,315000
528365070,7,1993,Y,2646,2,Normal,260000
528385050,7,1995,Y,2061,2,Normal,260000
528387030,8,1993,Y,2232,2,Normal,263550
528390100,8,1994,Y,2448,2,Normal,402000
528390210,7,1994,Y,1850,2,Normal,248000
528427020,8,2008,Y,1468,2,Abnormal,244600
528431020,8,2008,Y,1696,2,Normal,275000
528431070,8,2008,Y,1658,2,Normal,257500
528435030,8,2008,Y,1578,2,Abnormal,287090
528435050,8,2007,Y,1702,2,Normal,275500
528439060,8,2006,Y,1432,2,Normal,245000
528441020,7,2005,Y,1971,2,Normal,253000
528441090,9,2005,Y,2490,2,Normal,468000
528456180,7,2009,Y,1852,2,Abnormal,252678
528456220,8,2008,Y,1590,2,Normal,210000
528456240,6,2009,Y,1218,2,Abnormal,208300
528458020,7,2008,Y,1436,2,Abnormal,225000
528458040,8,2009,Y,1314,2,Abnormal,229456
528458060,7,2008,Y,1402,2,Normal,229800
528458140,9,2007,Y,1530,2,Normal,250000
528458160,9,2009,Y,1766,2,Abnormal,370878
528458180,8,2006,Y,1448,2,Normal,238500
528477050,10,2008,Y,2007,2,Normal,310000
528477070,8,2006,Y,1795,2,Normal,270000
528480040,8,2005,Y,1953,2,Normal,252000
528480130,7,2006,Y,1550,2,Normal,241000
528480170,8,2008,Y,1836,2,Abnormal,264500
528482040,7,2006,Y,1662,2,Normal,291000
528482130,7,2003,Y,2094,2,Normal,263000
528488100,7,2004,Y,1221,2,Normal,185000
528490040,7,2003,Y,1553,2,Normal,234500
528490070,7,2003,Y,1653,2,Normal,209000
531363010,7,2007,Y,1218,1,Normal,159000
531363030,7,2006,Y,1141,1,Normal,152000
531363050,6,2004,Y,1158,1,Normal,143500
531369010,7,2004,Y,1812,2,Normal,193000
531369020,8,2004,Y,1512,2,Normal,203000
531371050,7,2003,Y,1200,2,Normal,184900
531375040,7,2004,Y,1114,1,Normal,159000
531375090,5,2004,Y,1114,1,Normal,142000
531375130,5,2003,Y,1114,2,Normal,153000
531376090,7,2008,Y,1450,2,Abnormal,224243
531379050,7,1996,Y,2122,2,Normal,220000
531382070,8,2005,Y,1844,2,Abnormal,257000
531385020,7,2001,Y,1434,2,Normal,189000
531450120,6,1992,Y,1730,2,Normal,171500
531452010,6,1980,Y,1217,1,Normal,120000
531452070,6,1990,Y,1332,2,Normal,145000
531452260,7,1994,Y,1540,2,Normal,184000
531453100,6,1986,Y,1400,2,Normal,162000
531475220,6,1981,Y,1882,2,Normal,160000
531477020,4,1950,Y,841,1,Normal,82000
531479020,6,1928,N,784,1,Normal,76000
532353020,5,1962,Y,980,1,Normal,110000
532353130,5,1977,Y,980,1,Normal,135000
532354160,5,1961,Y,864,1,Normal,141000
532354230,5,1961,Y,864,1,Normal,122000
532376070,5,1965,Y,1020,2,Family,124100
532376110,5,1963,Y,912,1,Normal,129000
532377130,5,1961,Y,1144,1,Normal,131400
532378120,5,1965,Y,864,1,Normal,62383
532378180,5,1962,Y,912,1,Normal,123000
532478020,8,1980,Y,2014,2,Normal,275000
533135020,7,1991,Y,1755,2,Normal,235000
533206020,7,2004,Y,3005,2,Normal,280750
533210010,6,2009,Y,1224,2,Abnormal,164500
533210020,6,2009,Y,1224,2,Abnormal,173733
533213010,6,2008,Y,1726,2,Abnormal,222000
533213020,6,2008,Y,1256,1,Normal,195000
533213040,6,1999,Y,1471,2,Normal,172500
533221040,6,2000,Y,1512,2,Normal,180000
533223030,7,1999,Y,1452,2,Normal,156000
533236050,8,1999,Y,1739,2,Abnormal,172500
533252040,8,1977,Y,1694,2,Normal,318750
533253070,8,1981,Y,1226,1,Normal,211500
533254050,7,1981,Y,1740,1,Normal,241600
533254110,8,1976,Y,2499,2,Abnormal,180500
